quarter,coef,se,is_pre
2021Q1,-0.16434349327186498,0.3946228159525848,True
2021Q2,-0.19875042940272086,0.2696867784859728,True
2021Q3,0.013796559621436694,0.2718700021391036,True
2021Q4,-0.11227765241840414,0.24361057282751072,True
2022Q1,-0.05044991468565635,0.2091604742764044,True
2022Q2,0.0,0.0,False
2022Q3,-0.14390635435699622,0.20746422830804026,False
2022Q4,-0.3120299020410965,0.19634941577190704,False
2023Q1,-0.2789332718516707,0.2527596952511117,False
2023Q2,-0.24081636372383414,0.22388856980964117,False
2023Q3,-0.07062091048468994,0.2891656461617346,False
2023Q4,-0.17277489030053633,0.21868841509170883,False
2024Q1,-0.2989044965778017,0.3071761825175073,False
2024Q2,-0.5122409168529121,0.2047896482121525,False
2024Q3,-0.48291874406916696,0.2562798553849151,False
2024Q4,-0.802289171012433,0.23893967680704004,False
2025Q1,-0.829447175386223,0.20555903648380014,False
2025Q2,-0.9548323424901662,0.21442431782523338,False
2025Q3,-1.271753070997864,0.19854399785803148,False
2025Q4,-1.632795987224634,0.19797073502674573,False
