quarter,domestic_usd,imports_actual_usd,us_actual_usd,us_counterfactual_usd,us_suppressed_usd,ratio_actual,ratio_counterfactual,suppression_pp
2023Q1,925485524.0806044,5419946661.544933,784871729.0,1128916935.0255215,344045206.0255215,0.14585066816680026,0.13834945092058698,0.7501217246213276
2023Q2,1097034879.3410738,7040039631.8509245,884186393.0,1271213951.8628297,387027558.8628297,0.13481932331234966,0.12869799895932235,0.6121324353027313
2023Q3,1327195723.6633666,10181562969.073023,1244698662.0,1725685607.6259441,480986945.62594414,0.11532049277399567,0.11069423519852477,0.4626257575470902
2023Q4,1629172102.0027623,11964345034.405691,1497335613.0,2231881983.3013268,734546370.3013268,0.11984919617596528,0.11370497494234492,0.614422123362035
2024Q1,1274681600.6219554,11708131992.43803,1176454995.0,2267293813.4972367,1090838818.4972367,0.09818223079959659,0.09057219571340219,0.76100350861944
2024Q2,1539873234.5827146,11374241398.770348,1142535232.0,2108495477.6064572,965960245.6064572,0.11923955132051488,0.11094127719130481,0.8298274129210068
2024Q3,1840005612.6594777,11901619850.928463,1072815747.0,2151659124.660119,1078843377.660119,0.13390014285682997,0.12415299626273682,0.9747146594093148
2024Q4,2371882426.5882645,10348899125.30339,790252545.0,1960723233.3653185,1170470688.3653185,0.18645728777848178,0.17074648027155737,1.5710807506924414
2025Q1,1779278753.0937874,8457174086.04875,676800979.0,1633423606.1052768,956622627.1052768,0.17381790167489597,0.15896245481942098,1.4855446855474992
2025Q2,2039322782.3944957,10672865038.340038,739817249.0,2226504819.1939244,1486687570.1939244,0.1604226440918539,0.14362565528939017,1.679698880246372
2025Q3,2664327519.4736104,11605548976.572582,527836269.0,2363072430.961936,1835236161.961936,0.18670992143567786,0.16543364682076883,2.1276274614909023
2025Q4,3062737886.0885487,10834579728.738785,314496621.0,1960566098.6431525,1646069477.6431525,0.22038338411585634,0.19704443232789315,2.333895178796319
