quarter,domestic_logic_usd,chip_imports_usd,domestic_logic_bn,chip_imports_bn,domestic_logic_idx,chip_imports_idx,chip_domestic_share,equipment_ratio
2023Q1,1492255587.842159,16744922722.708977,1.492255587842159,16.744922722708978,100.0,100.0,0.08182491624698396,0.1458506681668002
2023Q2,1584256905.657503,16795846497.786177,1.5842569056575029,16.795846497786176,106.16525202283746,100.3041147213426,0.08619412366095165,0.1348193233123496
2023Q3,2193104455.6805267,18463731158.79575,2.1931044556805266,18.46373115879575,146.9657392170877,110.2646543346287,0.1061684614531958,0.1153204927739956
2023Q4,2135966527.5421662,19254373448.37467,2.135966527542166,19.25437344837467,143.1367752913447,114.98633805136913,0.09985659554485946,0.1198491961759652
2024Q1,2210579426.6427603,19016912977.663208,2.2105794266427603,19.016912977663207,148.13678331332747,113.56823374211828,0.10413756766646386,0.0981822307995965
2024Q2,2362603007.1027594,21337515009.825714,2.3626030071027593,21.337515009825715,158.3242861579192,127.4267750479875,0.0996873941899869,0.1192395513205148
2024Q3,2705666162.375298,23306649003.5587,2.705666162375298,23.3066490035587,181.31385698396096,139.18636346975134,0.10401481548703773,0.1339001428568299
2024Q4,2753872471.2993894,23151498762.414566,2.753872471299389,23.151498762414565,184.54428944585572,138.25981251628696,0.10630507652078827,0.1864572877784817
2025Q1,2778772005.036905,18366804116.0833,2.7787720050369047,18.3668041160833,186.21287316170032,109.68580996300912,0.13141150608147617,0.1738179016748959
2025Q2,2787009451.9555607,19573599182.028763,2.787009451955561,19.57359918202876,186.76488630112286,116.89274119780569,0.12463924831275748,0.1604226440918539
2025Q3,3035964909.906808,21992996217.963585,3.035964909906808,21.992996217963587,203.4480510337303,131.34128226305472,0.12129807922895301,0.1867099214356778
2025Q4,3176253349.0948095,24801923098.320408,3.1762533490948095,24.801923098320408,212.84915097471713,148.11607977554155,0.11352610328498552,0.2203833841158563
