term,coef,pct_effect,hc1_se,cluster_se
US x post_Oct2022,-0.35642806924448883,-0.2998271663807839,0.11646391877976862,0.3078578014242043
US x post_Oct2023,-0.3544871678217555,-0.2984668802682552,0.1367366107443821,0.14084242228666097
US x post_Dec2024,-0.8075144768008085,-0.5540348534661619,0.15730605570357667,0.08718963697665552
