term,coef,pct_effect,hc1_se,cluster_se
US x post_Oct2022,-0.12579947309316725,-0.11820834799183066,0.09049236412478126,0.2680601638629172
US x post_Oct2023,-0.35692128707097426,-0.3001724189545847,0.10742890248236532,0.15522557331928466
US x post_Dec2024,-0.7757181854635814,-0.5396269709747183,0.15985163517248055,0.08115846712930831
