term,coef,pct_effect,hc1_se,cluster_se
US x post_Oct2022,-0.35978143811827595,-0.30217117181334097,0.09475937151075682,0.21660977003391524
US x post_Oct2023,-0.390425052376164,-0.3232308489820326,0.1125222074249152,0.10671227370486173
US x post_Dec2024,-0.8125062088304853,-0.5562554450621936,0.14389551169025414,0.07512917020734539
