quarter,coef,se,is_pre
2021Q1,-0.018702554641165003,0.3013710547682752,True
2021Q2,-0.09734149420529602,0.21712934297673675,True
2021Q3,0.07498526141701076,0.1868317566242559,True
2021Q4,0.003873100564451086,0.2212030727940214,True
2022Q1,-0.04273719558808636,0.12752248599177568,True
2022Q2,0.0,0.0,False
2022Q3,-0.14103633675805582,0.12477974712944527,False
2022Q4,-0.21420726629785222,0.18897468795286024,False
2023Q1,-0.26925502311328214,0.14981275485017126,False
2023Q2,-0.28932301024224233,0.12885251802398748,False
2023Q3,-0.21544294055217525,0.21093200870528855,False
2023Q4,-0.31976276128665015,0.18598547569397653,False
2024Q1,-0.5202760095423988,0.2837711121375933,False
2024Q2,-0.5529268986871981,0.11773409256317849,False
2024Q3,-0.6020444820030806,0.1784303655458993,False
2024Q4,-0.8252736997037059,0.13516845730363922,False
2025Q1,-0.8169273079905236,0.12792032928839328,False
2025Q2,-1.071351471442907,0.15924464937702457,False
2025Q3,-1.4327625383386466,0.1922820483744899,False
2025Q4,-1.7700017805773594,0.17017843595106064,False
