quarter,coef,se,is_pre
2021Q1,-0.00412035166939919,0.5260320917586626,True
2021Q2,-0.04227998899952015,0.3742566893245542,True
2021Q3,0.10867687873869454,0.30823155781361367,True
2021Q4,0.0824600577988436,0.381083948984395,True
2022Q1,0.010191237891663787,0.18883055457266815,True
2022Q2,0.0,0.0,False
2022Q3,-0.08852794209639657,0.18243047206314178,False
2022Q4,-0.09125479575150741,0.29103629005570825,False
2023Q1,-0.1229280646764516,0.15505729260155363,False
2023Q2,-0.1925567918602346,0.17848037357629376,False
2023Q3,-0.12526265760166522,0.35761423738138676,False
2023Q4,-0.27670760210718226,0.3100314681442083,False
2024Q1,-0.4588512615764208,0.5030016424748935,False
2024Q2,-0.47174812072950134,0.16263154030379937,False
2024Q3,-0.5179221540079836,0.29422463183399455,False
2024Q4,-0.7044127249706758,0.16434032853314579,False
2025Q1,-0.7081047972623375,0.1627676342189754,False
2025Q2,-1.0861008660066767,0.1955894514251896,False
2025Q3,-1.4228656731225375,0.3044817924851993,False
2025Q4,-1.7497546578793581,0.26525775669266544,False
