quarter,coef,se,is_pre
2021Q1,0.4386604220625972,0.1614541267308271,True
2021Q2,0.5323251553276743,0.12140240738871617,True
2021Q3,0.06721308392240596,0.07880971161220267,True
2021Q4,-0.1166525513882871,0.059346987650128004,True
2022Q1,-0.11565199324242674,0.07675174143755074,True
2022Q2,0.0,0.0,False
2022Q3,-0.13543291515172745,0.07742683643191885,False
2022Q4,-0.08085174070796587,0.10275740201962441,False
2023Q1,-0.40593792192438977,0.1612358499316012,False
2023Q2,-0.6409070613431753,0.1074638701172496,False
2023Q3,-0.5199709436982973,0.11296402526367882,False
2023Q4,-0.3747433730992143,0.12841204858046695,False
2024Q1,-0.27881793470158484,0.06294946474154302,False
2024Q2,-0.11734504463259772,0.07427308270031503,False
2024Q3,-0.01638284543901866,0.12620698349824133,False
2024Q4,0.06958367551336621,0.13956159864645432,False
2025Q1,0.5029394062657347,0.06419141714306408,False
2025Q2,0.15170414439068378,0.0762285774843846,False
2025Q3,-0.010859786110721715,0.06017888203060617,False
2025Q4,-0.13654084891493576,0.09763480243069753,False
