quarter,n_vintages,first_vintage,first_ratio,latest_ratio,revision_pp,max_step_pp,coverage_changed
2023Q1,6,2026-07-13,0.1671007465909361,0.1458506681668002,-2.1250078424135896,2.1250078424135896,True
2023Q2,6,2026-07-13,0.1743572988729586,0.1348193233123497,-3.9537975560608896,3.953797556060898,True
2023Q3,6,2026-07-13,0.1153204927739956,0.1153204927739956,0.0,0.0,False
2023Q4,6,2026-07-13,0.1198491961759652,0.1198491961759652,0.0,0.0,False
2024Q1,6,2026-07-13,0.0981822307995965,0.0981822307995965,0.0,0.0,False
2024Q2,6,2026-07-13,0.1192395513205148,0.1192395513205148,0.0,0.0,False
2024Q3,6,2026-07-13,0.1339001428568299,0.1339001428568299,0.0,0.0,False
2024Q4,6,2026-07-13,0.1864572877784817,0.1864572877784817,0.0,0.0,False
2025Q1,6,2026-07-13,0.1738179016748959,0.173817901674896,8.326672684688674e-15,8.326672684688674e-15,False
2025Q2,6,2026-07-13,0.1604226440918539,0.1604226440918539,0.0,0.0,False
2025Q3,6,2026-07-13,0.1867099214356778,0.1867099214356778,0.0,0.0,False
2025Q4,6,2026-07-13,0.2203463286673593,0.2203833841158563,0.0037055448497025356,0.0037055448497025356,False
2026Q1,6,2026-07-13,0.3638977224367701,0.3638986112052398,8.887684697089782e-05,8.987569714014043e-05,False
